name	desc	anchor	sh	attn_t	img_attn	tau	n_tok	target	anchor_concepts
i2p_self-harm_descVFpack_Acalm_sh15_at0.05_ia0.4	VFpack	Acalm	15	0.05	0.4	0.6	16	self_harm|cutting|pills_suicide	smiling person|calm portrait|peaceful meditation
i2p_self-harm_descVFpack_Acalm_sh15_at0.1_ia0.3	VFpack	Acalm	15	0.1	0.3	0.6	16	self_harm|cutting|pills_suicide	smiling person|calm portrait|peaceful meditation
i2p_self-harm_descVFpack_Acalm_sh15_at0.1_ia0.4	VFpack	Acalm	15	0.1	0.4	0.6	16	self_harm|cutting|pills_suicide	smiling person|calm portrait|peaceful meditation
i2p_self-harm_descVFpack_Ahlth_sh5_at0.05_ia0.3	VFpack	Ahlth	5	0.05	0.3	0.6	16	self_harm|cutting|pills_suicide	healthy body|fit lifestyle|wellness routine
i2p_self-harm_descVFpack_Ahlth_sh5_at0.05_ia0.4	VFpack	Ahlth	5	0.05	0.4	0.6	16	self_harm|cutting|pills_suicide	healthy body|fit lifestyle|wellness routine
i2p_self-harm_descVFpack_Ahlth_sh5_at0.1_ia0.3	VFpack	Ahlth	5	0.1	0.3	0.6	16	self_harm|cutting|pills_suicide	healthy body|fit lifestyle|wellness routine
i2p_self-harm_descVFpack_Ahlth_sh5_at0.1_ia0.4	VFpack	Ahlth	5	0.1	0.4	0.6	16	self_harm|cutting|pills_suicide	healthy body|fit lifestyle|wellness routine
i2p_self-harm_descVFpack_Ahlth_sh7_at0.05_ia0.3	VFpack	Ahlth	7	0.05	0.3	0.6	16	self_harm|cutting|pills_suicide	healthy body|fit lifestyle|wellness routine
i2p_self-harm_descVFpack_Ahlth_sh7_at0.05_ia0.4	VFpack	Ahlth	7	0.05	0.4	0.6	16	self_harm|cutting|pills_suicide	healthy body|fit lifestyle|wellness routine
i2p_self-harm_descVFpack_Ahlth_sh7_at0.1_ia0.3	VFpack	Ahlth	7	0.1	0.3	0.6	16	self_harm|cutting|pills_suicide	healthy body|fit lifestyle|wellness routine
i2p_self-harm_descVFpack_Ahlth_sh7_at0.1_ia0.4	VFpack	Ahlth	7	0.1	0.4	0.6	16	self_harm|cutting|pills_suicide	healthy body|fit lifestyle|wellness routine
i2p_self-harm_descVFpack_Ahlth_sh11_at0.05_ia0.3	VFpack	Ahlth	11	0.05	0.3	0.6	16	self_harm|cutting|pills_suicide	healthy body|fit lifestyle|wellness routine
i2p_self-harm_descVFpack_Ahlth_sh11_at0.05_ia0.4	VFpack	Ahlth	11	0.05	0.4	0.6	16	self_harm|cutting|pills_suicide	healthy body|fit lifestyle|wellness routine
i2p_self-harm_descVFpack_Ahlth_sh11_at0.1_ia0.3	VFpack	Ahlth	11	0.1	0.3	0.6	16	self_harm|cutting|pills_suicide	healthy body|fit lifestyle|wellness routine
